Traceback (most recent call last):
  File "twitter_searches_tmp.py", line 50, in <module>
    if logs_path.is_file()
  File "/home/pi/berryconda3/envs/twitter/lib/python3.6/site-packages/pandas/io/parsers.py", line 678, in parser_f
    return _read(filepath_or_buffer, kwds)
  File "/home/pi/berryconda3/envs/twitter/lib/python3.6/site-packages/pandas/io/parsers.py", line 440, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File "/home/pi/berryconda3/envs/twitter/lib/python3.6/site-packages/pandas/io/parsers.py", line 787, in __init__
    self._make_engine(self.engine)
  File "/home/pi/berryconda3/envs/twitter/lib/python3.6/site-packages/pandas/io/parsers.py", line 1014, in _make_engine
    self._engine = CParserWrapper(self.f, **self.options)
  File "/home/pi/berryconda3/envs/twitter/lib/python3.6/site-packages/pandas/io/parsers.py", line 1708, in __init__
    self._reader = parsers.TextReader(src, **kwds)
  File "pandas/_libs/parsers.pyx", line 542, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file
1609322265.446237,blendle,0
1609326005.347001,blendle,1
1609326006.551345,cafeyn,1
1609326007.347551,milibris,0
1609347604.974857,blendle,7
1609347605.977976,cafeyn,2
1609347606.76278,milibris,0
1609369235.989912,blendle,3
1609369238.425173,cafeyn,8
1609369239.598144,milibris,0
1609390805.770067,blendle,1
1609390807.471582,cafeyn,4
1609390808.313153,milibris,0
1609412405.840251,blendle,6
1609412407.207431,cafeyn,7
1609412408.028027,milibris,0
1609434005.34847,blendle,5
1609434007.268099,cafeyn,7
1609434013.320852,milibris,0
1609455605.984627,blendle,1
1609455607.844878,cafeyn,1
1609455609.476844,milibris,0
1609477206.608612,blendle,1
1609477208.190862,cafeyn,0
1609477208.985592,milibris,0
1609498806.454518,blendle,2
1609498808.404333,cafeyn,0
1609498809.36925,milibris,0
1609520404.903544,blendle,6
1609520407.048295,cafeyn,6
1609520407.790219,milibris,0
1609542006.586744,blendle,1
1609542008.18588,cafeyn,2
1609542009.201566,milibris,0
1609563609.449703,blendle,1
1609563614.458444,cafeyn,0
1609563615.366542,milibris,0
1609585208.53627,blendle,10
1609585210.455962,cafeyn,1
1609585211.459028,milibris,0
1609606805.394781,blendle,3
1609606806.59983,cafeyn,0
1609606807.554085,milibris,0
1609628691.469851,blendle,3
1609628693.38739,cafeyn,1
1609628694.403768,milibris,1
1609650006.284748,blendle,0
1609650007.827928,cafeyn,3
1609650008.560427,milibris,0
