,id,iso_language_code,created_at,screen_name,text,location,favorite_count,retweet_count,queried_at
0,1310232735160635392,nl,2020-09-27 15:00:01.000000,BlendleNL,"Het leven is niet altijd even logisch voor iemand met autisme. Een hartverwarmend verhaal over verborgen talent, on… https://t.co/EhBmzFsA6O",Utrecht,0,0,2020-09-27 17:13:18.904496
1,1310224176268144642,de,2020-09-27 14:26:01.000000,Inku_Lux,@PhilippeMajerus @forum_lu Ech verstinn Iech! Leider ass et net ganz „preiswert“ fir esou 1 Funktioun anzebauen. Da… https://t.co/HsgIehBPbJ,Luxembourg,1,0,2020-09-27 17:13:18.904517
2,1310210726003380224,nl,2020-09-27 13:32:34.000000,Hans_from_afar,Read this article from PS: 'Mijn grootste zorg was dat ik mezelf moest inleveren' https://t.co/jhrDMzJ1mj,,0,0,2020-09-27 17:13:18.904529
3,1310205828545347585,en,2020-09-27 13:13:06.000000,JJPeregrine,"@VulcanWarrior56 In other news, Charlie Hebdo was acquired by Edward Rothschild in 2014, just prior to the purporte… https://t.co/jMYGWoNpUj",Siberian hinterland of Twitter,0,1,2020-09-27 17:13:18.904539
4,1310189757243240448,de,2020-09-27 12:09:14.000000,BjoernGehrmann,"Sind Reiche ehrlicher?
👉 ""Der ohnehin schon hohe Gewinn machte die Versuchspersonen ehrlicher. Offenbar funktionier… https://t.co/gJ2LXHTZZt",Berlin/Sion VS,1,0,2020-09-27 17:13:18.904548
5,1310167848040439808,nl,2020-09-27 10:42:11.000000,DickKraaij,Lees dit artikel uit PS van @parool: 'Mijn grootste zorg was dat ik mezelf moest inleveren' https://t.co/vOx2aFMgDM… https://t.co/U9Cv53DIia,"Alphen aan den Rijn, Nederland",0,0,2020-09-27 17:13:18.904559
6,1310154771551129602,nl,2020-09-27 09:50:13.000000,MCleaver,@AlexanderNL Er was vroeger een manier om incidenteel artikelen te kopen van verschillende kranten/bladen. Help me… https://t.co/L5a8083Ocg,"Amsterdam, The Netherlands",0,0,2020-09-27 17:13:18.904569
7,1310137810473619456,de,2020-09-27 08:42:49.000000,Sustoecker,"Ich habe den Artikelfür 0,45€ auf @BlendleDE gelesen: Lohnt sich! 👍🏻
Der Tagesspiegel: „Wir haben einen anstrengend… https://t.co/kTBq26UbZU",Langen (Hessen),0,0,2020-09-27 17:13:18.904579
8,1310128039121039360,de,2020-09-27 08:04:00.000000,prokrastinix,"@frau_sam https://t.co/F64Tyxx7Yp Ich habe es allerdings nie selber probiert und kenne es nur vom Hörensagen. 

Hab… https://t.co/yxhatrcQcn",🏚,1,0,2020-09-27 17:13:18.904588
9,1310113921534222337,nl,2020-09-27 07:07:54.000000,BoschRH,"“..zodra je automatisch gedrag loslaat, ontstaan verwarring, angst, verdriet. Het is alsof je nieuw land betreedt..… https://t.co/NrnwmvhedL",,0,0,2020-09-27 17:13:18.904599
10,1310108726288945153,nl,2020-09-27 06:47:15.000000,Georgette1711,"Lees dit artikel uit De Standaard: Kan iets echt onbeschrijfelijk zijn? (Ja, dat kan!)  https://t.co/1NPz9MKOcA",,0,0,2020-09-27 17:13:18.904608
11,1310105399262146561,nl,2020-09-27 06:34:02.000000,RichardAbbenhu3,Lees dit artikel uit Knack: De beste filter blijkt een viscose dweil te zijn https://t.co/KmZAXm6Ahm,,1,1,2020-09-27 17:13:18.904618
12,1310104383355527171,nl,2020-09-27 06:30:00.000000,BlendleNL,"Homo-ontmoetingsplekken sluiten? Nou, nee: ‘Zij kunnen dan nergens meer heen met hun gevoelens. Dat kan echt tot ze… https://t.co/Hl8qyGD9QR",Utrecht,0,1,2020-09-27 17:13:18.904629
13,1310096836586336267,nl,2020-09-27 06:00:00.000000,BlendleNL,"Sander, Joost, Pim, Max en Mathijs: dit zijn de vijf surfers die voor de kust van Scheveningen door het noodlot wer… https://t.co/MZPWVpr0Mu",Utrecht,0,0,2020-09-27 17:13:18.904638
