,id,iso_language_code,created_at,screen_name,text,location,favorite_count,retweet_count,queried_at
0,1327947532308254723,es,2020-11-15 12:12:18.000000,GuindalMariano,¿la vacuna tendría que ser obligatoria? Los expertos están divididos y la población también. Desde el punto de vist… https://t.co/c26ViqGw9i,,1,0,2020-11-15 14:05:00.593739
1,1327616651475423233,es,2020-11-14 14:17:30.000000,NinesL,"Leer en LaVanguardia: La Vanguardia (castellano) - 14 de noviembre de 2020 - “Si quieres que pase otra cosa, tienes… https://t.co/PfRcokDkoe",,0,0,2020-11-15 14:05:00.593769
2,1327544110702620673,ca,2020-11-14 09:29:15.000000,JosepLlGarcia,"Bonus tuit, per si el comte de Godó us demana res a canvi per llegir l'article:

https://t.co/25mw59rPmf","Vic, Cataluñya",0,0,2020-11-15 14:05:00.593782
3,1327219335316840448,ca,2020-11-13 11:58:42.000000,mdllamas54,Leer en LaVanguardia: La Vanguardia (castellano) - 12 de noviembre de 2020 - Zenobia baila sola https://t.co/jRCSWTA7H1 #LaVanguardia,,0,0,2020-11-15 14:05:00.593793
4,1326848573720436736,und,2020-11-12 11:25:26.000000,HOLTKAMPNL,https://t.co/KJAIG7GK14,"Eindhoven, NL",1,0,2020-11-15 14:05:00.593804
5,1326848335332962304,und,2020-11-12 11:24:29.000000,HOLTKAMPNL,https://t.co/uxmi9MU3y7,"Eindhoven, NL",0,0,2020-11-15 14:05:00.593817
6,1325803979155058688,fr,2020-11-09 14:14:35.000000,RECITpresco,Découvrez nos idées pour intégrer «Les TIC au service de l'enseignement en nature » à la page 56 de la Revue présco… https://t.co/84rL1yQHlH,Montréal,5,5,2020-11-15 14:05:00.593829
0,1328600403785752577,fr,2020-11-17 07:26:35.000000,flomidanton,Liseuse Milibris https://t.co/nW20PaPfTK,France,0,0,2020-11-19 20:40:53.869432
1,1328338153883701250,es,2020-11-16 14:04:29.000000,mruiz,"¿La pandemia traerá algún #cambio a mejor en temas de #conciliacion? El tiempo lo dirá.
 https://t.co/toWv7RL2Qa",Barcelona,0,0,2020-11-19 20:40:53.869492
2,1328087832209059841,ca,2020-11-15 21:29:48.000000,enCapCapCap,"@donni__69 @onlyamd ""no conoce la dinámica del virus. En 15 días veremos"" (!) Doncs aquí tens les dades d tota la s… https://t.co/GD5LEGKe8k",Catalunya,1,0,2020-11-19 20:40:53.869528
